Mes,ID,Público,Nombre,Workflow,Link,Desempeño,Publicado,Cantidad de Leads
2,CS02-10,USA,Gritones,Enviado a MB,https://drive.google.com/file/d/1BL0f0MQkzboVmap7UdJ9i2hmY_qGVSiA/view?usp=sharing,No funcionó,Yes,
2,CS02-11,USA,Lista de beneficios,Enviado a MB,https://drive.google.com/file/d/1d1cRl9oZWtu80U67iYH9MQeE80AV_lI4/view?usp=sharing,No funcionó,Yes,
2,CS02-12,Pensilvania,Pensilvania a la vanguardia,Enviado a MB,https://drive.google.com/file/d/12Eq2y2jXS0JI06Jl5r_HlJjV7M-l86pz/view?usp=sharing,,No,
2,CS02-13,Pensilvania,"Mundial 2026 ",Enviado a MB,https://drive.google.com/file/d/1zWIlwGsMPsoJ_d41IANYV6WvhVqkrpjA/view?usp=sharing,,No,
2,CS02-11.1,USA,VAR. Lista de beneficios,Enviado a MB,https://drive.google.com/file/d/1uRnO493twTyp4Vb2uB6gZATiYfCz0gCW/view?usp=sharing,No funcionó,Yes,
2,CS02-14,Maryland,Drama Maryland,Enviado a MB,https://drive.google.com/file/d/1qPTkaY-7GvsiAu1ZhdV7eCyJaRxKuHCt/view?usp=sharing,Trajo Leads,Yes,
2,CS02-15,USA,USA a la Vanguardia,Enviado a MB,https://drive.google.com/file/d/1E3D4DJhsrbPrAHpG62cwZ6q4pdpLPC6C/view?usp=sharing,Trajo Leads,Yes,
2,CS02-17,Florida,Remake T FL (no hace frio x3),Enviado a MB,https://drive.google.com/file/d/1S65otKqWBciudSZ3VZucmDvo6u14k7bY/view?usp=sharing,No funcionó,Yes,
2,CS02-18,Texas,Texas Vanguardia Marzo,Enviado a MB,https://drive.google.com/file/d/1yszdOcAEYT1gbmorPqYMAu7LFO2X89g5/view?usp=sharing,No funcionó,Yes,
2,CS02-19,Texas,Pedido Andres - Texas Corto,Enviado a MB,https://drive.google.com/file/d/1aaCVaBsatZCdG77hR-03MOZjH9pBL2OL/view?usp=sharing,No funcionó,Yes,
2,CS02-20,Florida,Pedido Agus- USA a la Vanguardia (FL),Enviado a MB,https://drive.google.com/file/d/1YAOyQbSmDsj_VFeG9ybvODCVMZ4mzAn_/view?usp=sharing,Trajo Leads,Yes,
2,CS02-21,Mass,Pedido Agus-USA a la Vanguardia (MASS),Enviado a MB,https://drive.google.com/file/d/18ziIQlhCDp0U0t6SSYJdCySWU57nRwGy/view?usp=sharing,Trajo Citas,Yes,
2,CS02-22,Florida,Perrito Jetski FL,Enviado a MB,https://drive.google.com/file/d/1e_Vuq0TjaqxqmOoLX3yTS_k45UYXCfhJ/view?usp=sharing,,No,
2,CS02-23,Mass,Perrito Jetski MA,Enviado a MB,https://drive.google.com/file/d/1Fl_fbpvRAVQQMjCgLnHjEyNlc8HjZZGQ/view?usp=sharing,No funcionó,Yes,
2,CS02-24,Texas,Perrito Jetski TX,Enviado a MB,https://drive.google.com/file/d/1XCYI0ky7SpjsAOVHfJBeA-ClkoxzC5rA/view?usp=sharing,,No,
2,CS02-25,Maryland,Perrito Jetski MD,Enviado a MB,https://drive.google.com/file/d/115tP5OiNseLzEhUqVIfneTfcQtx8_25x/view?usp=sharing,,No,
2,CS02-26,Las Vegas,Perrito Jetski Las Vegas,Enviado a MB,https://drive.google.com/file/d/17ic0NmEf_oiyRidZEQEJmFC--L3Vq4b3/view?usp=sharing,,No,
2,CS02-27,Pensilvania,Perrito Jetski PA,Enviado a MB,https://drive.google.com/file/d/162oTTu2U1wgN7HsZ8JNjyvz1FAA7t0IW/view?usp=sharing,,No,
2,CS02-28,Florida,Spring Break Solar FL,Enviado a MB,https://drive.google.com/file/d/1opGaotkLd-nugwrUyvnwaV1tFXHsBEhg/view?usp=sharing,Trajo Leads,Yes,
2,CS02-29,Texas,Spring Break Solar TX,Enviado a MB,https://drive.google.com/file/d/1If6z5orkdoxxIQ9LSXGQJrI4Ubb-XVuo/view?usp=sharing,No funcionó,Yes,
2,CS02-30,Mass,Pedido Agus-Corto Mass,Enviado a MB,https://drive.google.com/file/d/11--B2pQC4rdb6m_j3mlmoGEZJT4d5zzm/view?usp=sharing,Trajo Leads,Yes,
2,CS02-31,Miami,Ocho por Ocho Miami,Enviado a MB,https://drive.google.com/file/d/1y7e2UWeOioRW0M3bjD7gbGbsW3qkzEQz/view?usp=sharing,No funcionó,Yes,
2,CS02-32,Texas,TOP 3 mejores herramientas TX,Enviado a MB,https://drive.google.com/file/d/1vLs1xOP9xoDhPXw21_qMqh0YYEDrR-F8/view?usp=sharing,Trajo Cierres,Yes,
2,CS02-33,Mass,TOP 3 mejores herramientas MA,Enviado a MB,https://drive.google.com/file/d/1K8dHOlC2ltNEA30RsBgPsIsjG9rP6Gy-/view,Trajo Citas,Yes,
3,CS03-2,USA,Tips de ahorro,CW- En Pausa,,,No,
3,CS03-3,Texas,Remake Top 3 Herramientas TX,Enviado a MB,https://drive.google.com/file/d/1rj1MQ1bn4eS2HnSOC2KAvbVEV_avlibE/view?usp=sharing,Trajo Leads,Yes,
3,CS03-20,Texas,TOP 3 Carros TX,VE- Revisión,https://drive.google.com/file/d/1EjlOutrDUoF7xrOzSf48MGF1S1dCOxnZ/view?usp=sharing,Trajo Leads,Yes,
2,CS02-35,Florida,TOP 3 mejores herramientas FL,Enviado a MB,CS02-35 (TOP 3 herramientas FL) https://drive.google.com/file/d/1p0XigoYrZSjBDy1vGw7nA6hBldF_LPhG/view?usp=sharing,Trajo Leads,No,
3,CS03-4,Mass,Remake Top 3 Herramientas MA,Enviado a MB,https://drive.google.com/file/d/1NWJaXIZWnVYie2MeHfxYSf8rhTehW7an/view?usp=sharing,No funcionó,Yes,
3,CS03-5,Las Vegas,Estadio LV,VE- Revisión,https://drive.google.com/file/d/1GAeZ-mjD_6WGFzzkjpzpYMARlsotVkQk/view?usp=sharing,Trajo 2 leads,Yes,
3,CS03-6,Las Vegas,UFC 2024 LV,VE- Revisión,https://drive.google.com/file/d/10Ux-5BFY9n4DUxfa47ZmxjZ8OzGVn67U/view?usp=sharing,No funcionó,Yes,
3,CS03-7,Las Vegas,Canelo LV,VE- Revisión,https://drive.google.com/file/d/1FTYDeF6LupfS9eC74CSDwmSH9rZBWyMt/view?usp=sharing,Trajo Leads,Yes,
